"","x","y","SUMgammaE"
"382",37.5,16.5,0.0172916857372224
"383",35.5,17.5,-0.03292300869818
"384",35.5,15.5,0.0125183579512119
"385",36.5,15.5,0.0386130955411341
"386",37.5,15.5,0.0434408145232345
"387",35.5,16.5,-0.0162938115769975
"388",36.5,13.5,0.0589654542536577
"389",37.5,13.5,0.0298149965242244
"390",35.5,14.5,0.0368824977160524
"391",36.5,14.5,0.0620583270232005
"392",37.5,14.5,0.0510874137144383
"393",35.5,12.5,0.0543589030725019
"394",36.5,12.5,0.0590136456734997
"395",35.5,13.5,0.0460509501553598
"396",36.5,10.5,0.0939637486620529
"397",35.5,11.5,0.0751687117607797
"398",36.5,11.5,0.0931343361833499
"399",35.5,10.5,0.0677250175042246
"400",42.5,59.5,-0.145074522459087
