origin,destination,travelTime,entryTime,exitTime,travelDistance
13,8,55.51499999999942,25540.696,25596.211,NaN
13,7,56.54899999999907,25541.132,25597.681,NaN
12,7,53.199000000000524,25541.21,25594.409,NaN
13,8,57.14500000000044,25541.532,25598.677,NaN
12,8,56.16299999999683,25541.58,25597.743,NaN
12,8,56.83100000000195,25541.981,25598.812,NaN
13,8,59.711999999999534,25542.103,25601.815,NaN
-1,7,38.32500000000073,25543.802,25582.127,NaN
13,7,58.64400000000023,25543.939,25602.583,NaN
12,8,54.36499999999796,25544.18,25598.545,NaN
13,5,68.04899999999907,25544.2,25612.249,NaN
13,8,58.78700000000026,25544.5,25603.287,NaN
13,7,48.67699999999968,25544.8,25593.477,NaN
12,8,54.998999999999796,25545.046,25600.045,NaN
13,8,59.91700000000128,25545.136,25605.053,NaN
14,6,58.27000000000044,25545.17,25603.44,NaN
13,8,58.6150000000016,25545.336,25603.951,NaN
13,8,61.51499999999942,25545.538,25607.053,NaN
12,8,53.931000000000495,25545.649,25599.58,NaN
13,7,57.11099999999715,25545.704,25602.815,NaN
13,9,50.876000000000204,25547.275,25598.151,NaN
13,5,57.76599999999962,25547.743,25605.509,NaN
3,6,34.88900000000285,25547.795,25582.684,NaN
13,8,59.87800000000061,25548.243,25608.121,NaN
13,7,60.3169999999991,25548.305,25608.622,NaN
-1,8,58.20899999999892,25548.714,25606.923,NaN
13,7,57.91100000000006,25548.843,25606.754,NaN
14,8,55.50799999999799,25549.079,25604.587,NaN
13,7,56.974999999998545,25549.111,25606.086,NaN
14,8,59.07599999999729,25549.683,25608.759,NaN
14,7,60.94499999999971,25549.747,25610.692,NaN
13,8,62.520999999997,25549.774,25612.295,NaN
13,8,58.081999999998516,25549.973,25608.055,NaN
13,8,61.18099999999686,25550.276,25611.457,NaN
12,7,46.693999999999505,25550.318,25597.012,NaN
13,7,66.68999999999869,25550.679,25617.369,NaN
3,6,41.39300000000003,25550.735,25592.128,NaN
14,8,55.37000000000262,25551.083,25606.453,NaN
14,3,78.30099999999948,25551.183,25629.484,NaN
12,7,56.5679999999993,25551.286,25607.854,NaN
12,8,59.104000000003,25551.421,25610.525,NaN
13,6,70.31200000000172,25551.509,25621.821,NaN
13,5,69.645999999997,25552.347,25621.993,NaN
1,10,62.0669999999991,25552.419,25614.486,NaN
12,8,53.16700000000128,25552.856,25606.023,NaN
14,6,63.2019999999975,25552.882,25616.084,NaN
3,6,32.95499999999811,25552.933,25585.888,NaN
12,8,56.465000000000146,25553.024,25609.489,NaN
13,8,62.04999999999927,25553.379,25615.429,NaN
12,5,57.056000000000495,25553.393,25610.449,NaN
6,14,62.89500000000044,25553.788,25616.683,NaN
13,8,66.28800000000047,25553.815,25620.103,NaN
14,5,87.89400000000023,25553.887,25641.781,NaN
13,7,68.92299999999886,25553.979,25622.902,NaN
14,6,47.3849999999984,25553.987,25601.372,NaN
13,8,65.75299999999697,25554.08,25619.833,NaN
13,10,61.37700000000041,25554.244,25615.621,NaN
-1,7,74.42500000000291,25554.351,25628.776,NaN
12,7,56.904999999998836,25554.524,25611.429,NaN
12,7,59.20400000000154,25555.225,25614.429,NaN
13,8,65.52000000000044,25555.551,25621.071,NaN
13,7,63.88500000000204,25555.582,25619.467,NaN
12,8,56.5669999999991,25555.592,25612.159,NaN
12,7,60.10499999999956,25555.626,25615.731,NaN
13,6,68.4409999999989,25555.651,25624.092,NaN
13,8,69.95999999999913,25556.451,25626.411,NaN
14,7,69.4509999999973,25556.487,25625.938,NaN
13,7,60.3169999999991,25556.848,25617.165,NaN
12,8,52.93000000000029,25556.897,25609.827,NaN
13,7,68.85699999999997,25557.149,25626.006,NaN
12,8,53.26599999999962,25557.361,25610.627,NaN
13,7,65.45599999999831,25557.416,25622.872,NaN
13,6,72.08399999999892,25557.416,25629.5,NaN
14,7,77.02999999999884,25557.823,25634.853,NaN
13,8,66.15599999999904,25557.916,25624.072,NaN
14,6,78.14899999999761,25558.023,25636.172,NaN
12,8,54.29899999999907,25558.496,25612.795,NaN
13,7,62.318999999999505,25558.717,25621.036,NaN
13,7,63.421000000002095,25558.784,25622.205,NaN
13,8,63.68500000000131,25558.851,25622.536,NaN
13,8,72.39800000000105,25559.017,25631.415,NaN
14,5,86.66600000000108,25559.319,25645.985,NaN
13,7,65.25900000000183,25560.118,25625.377,NaN
13,10,45.49200000000201,25560.118,25605.61,NaN
13,7,69.75799999999799,25560.823,25630.581,NaN
13,6,72.05199999999968,25560.952,25633.004,NaN
13,10,53.16599999999744,25561.72,25614.886,NaN
1,10,52.95899999999892,25561.827,25614.786,NaN
13,8,67.58799999999974,25563.159,25630.747,NaN
-1,3,59.58599999999933,25563.59,25623.176,NaN
12,6,69.50300000000061,25563.601,25633.104,NaN
13,10,56.16899999999805,25563.723,25619.892,NaN
12,6,95.49099999999817,25563.737,25659.228,NaN
13,7,73.3279999999977,25564.023,25637.351,NaN
13,8,70.63100000000122,25564.288,25634.919,NaN
13,10,58.1730000000025,25564.656,25622.829,NaN
3,10,53.14500000000044,25564.945,25618.09,NaN
12,2,97.38600000000224,25565.134,25662.52,NaN
1,10,51.69499999999971,25565.263,25616.958,NaN
3,-1,71.38999999999942,25565.749,25637.139,NaN
13,6,83.99299999999857,25565.895,25649.888,NaN
12,8,63.707000000002154,25566.404,25630.111,NaN
3,6,30.45100000000093,25567.281,25597.732,NaN
13,7,73.99599999999919,25567.294,25641.29,NaN
13,3,85.98099999999977,25567.663,25653.644,NaN
13,3,83.81399999999849,25567.793,25651.607,NaN
12,6,80.31099999999788,25567.97,25648.281,NaN
14,7,68.79400000000169,25568.295,25637.089,NaN
13,8,69.75900000000183,25568.528,25638.287,NaN
3,6,36.05199999999968,25568.788,25604.84,NaN
13,9,59.11899999999878,25569.428,25628.547,NaN
12,3,78.66300000000047,25570.676,25649.339,NaN
12,10,46.28099999999904,25570.741,25617.022,NaN
14,7,73.92799999999988,25570.801,25644.729,NaN
13,8,69.7619999999988,25570.829,25640.591,NaN
13,7,69.12900000000081,25571.196,25640.325,NaN
13,3,79.9419999999991,25571.23,25651.172,NaN
13,10,54.668000000001484,25571.429,25626.097,NaN
1,12,69.47799999999916,25571.739,25641.217,NaN
13,6,85.66500000000087,25571.799,25657.464,NaN
12,7,69.8179999999993,25571.906,25641.724,NaN
3,12,68.92499999999927,25574.06,25642.985,NaN
12,7,74.48700000000099,25574.178,25648.665,NaN
12,7,74.32200000000012,25575.478,25649.8,NaN
14,8,77.56100000000151,25575.707,25653.268,NaN
12,8,70.85099999999875,25577.348,25648.199,NaN
1,12,80.60599999999977,25577.358,25657.964,NaN
13,5,92.27300000000105,25579.172,25671.445,NaN
12,6,78.24599999999919,25581.018,25659.264,NaN
3,13,70.08399999999892,25583.665,25653.749,NaN
13,6,82.65699999999924,25586.683,25669.34,NaN
1,13,65.56199999999808,25586.719,25652.281,NaN
1,12,65.3060000000005,25587.855,25653.161,NaN
11,7,66.85699999999997,25589.214,25656.071,NaN
11,7,70.49599999999919,25590.114,25660.61,NaN
14,10,53.663000000000466,25590.155,25643.818,NaN
11,3,80.21699999999691,25591.346,25671.563,NaN
12,10,60.862999999997555,25594.13,25654.993,NaN
6,14,48.54999999999927,25594.893,25643.443,NaN
12,7,64.77900000000227,25598.37,25663.149,NaN
9,14,32.419999999998254,25598.679,25631.099,NaN
1,10,49.721999999997934,25599.199,25648.921,NaN
13,8,61.449000000000524,25601.03,25662.479,NaN
13,1,77.8159999999989,25603.198,25681.014,NaN
12,3,81.46799999999712,25603.508,25684.976,NaN
3,12,69.08800000000338,25604.759,25673.847,NaN
12,8,61.038000000000466,25604.813,25665.851,NaN
3,8,106.10199999999895,25606.161,25712.263,NaN
12,1,72.83700000000317,25610.117,25682.954,NaN
14,8,59.57600000000093,25610.211,25669.787,NaN
11,7,59.15200000000186,25611.066,25670.218,NaN
12,7,65.11100000000079,25613.285,25678.396,NaN
12,8,54.366000000001804,25614.121,25668.487,NaN
12,8,56.53600000000006,25616.456,25672.992,NaN
13,7,55.74799999999959,25617.845,25673.593,NaN
12,7,55.2019999999975,25617.991,25673.193,NaN
3,12,74.62700000000041,25618.641,25693.268,NaN
14,8,59.41700000000128,25619.014,25678.431,NaN
12,8,55.03199999999924,25620.025,25675.057,NaN
13,7,55.17499999999927,25620.051,25675.226,NaN
13,10,53.66700000000128,25624.618,25678.285,NaN
12,8,49.72599999999875,25624.633,25674.359,NaN
14,7,55.80400000000009,25625.527,25681.331,NaN
14,8,53.375,25629.29,25682.665,NaN
3,7,48.81200000000172,25629.884,25678.696,NaN
13,8,59.65100000000166,25631.224,25690.875,NaN
3,8,41.97100000000137,25632.856,25674.827,NaN
1,8,41.921000000002095,25633.403,25675.324,NaN
12,8,49.564000000002125,25633.671,25683.235,NaN
3,10,45.69800000000032,25634.956,25680.654,NaN
1,12,80.18600000000151,25635.071,25715.257,NaN
12,6,55.85499999999956,25635.408,25691.263,NaN
12,8,50.59899999999834,25635.74,25686.339,NaN
14,7,61.74499999999898,25636.571,25698.316,NaN
12,8,51.331999999998516,25637.043,25688.375,NaN
12,6,57.22399999999834,25637.811,25695.035,NaN
13,8,57.55000000000291,25638.065,25695.615,NaN
-1,10,75.48199999999997,25638.539,25714.021,NaN
13,8,62.55500000000029,25639.0,25701.555,NaN
12,8,50.53099999999904,25639.544,25690.075,NaN
12,8,54.70000000000073,25639.88,25694.58,NaN
13,8,61.48500000000058,25640.134,25701.619,NaN
12,8,60.108000000000175,25640.679,25700.787,NaN
10,8,33.51000000000204,25642.05,25675.56,NaN
12,5,60.629000000000815,25645.021,25705.65,NaN
13,6,72.51300000000265,25646.674,25719.187,NaN
12,8,61.108000000000175,25648.82,25709.928,NaN
3,-1,92.7039999999979,25649.471,25742.175,NaN
13,6,68.14600000000064,25651.145,25719.291,NaN
12,7,59.54200000000128,25651.623,25711.165,NaN
1,13,82.67799999999988,25652.891,25735.569,NaN
14,3,121.21700000000055,25656.891,25778.108,NaN
12,7,58.9419999999991,25657.395,25716.337,NaN
14,8,65.25300000000061,25657.887,25723.14,NaN
1,14,74.34000000000015,25658.463,25732.803,NaN
3,12,63.54899999999907,25658.716,25722.265,NaN
12,8,58.20300000000134,25658.732,25716.935,NaN
-1,9,75.36399999999776,25659.059,25734.423,NaN
12,7,56.23500000000058,25662.068,25718.303,NaN
12,7,55.03700000000026,25662.568,25717.605,NaN
8,-1,50.900000000001455,25662.815,25713.715,NaN
1,11,64.1909999999989,25666.571,25730.762,NaN
1,12,73.64600000000064,25667.371,25741.017,NaN
14,7,67.4900000000016,25668.335,25735.825,NaN
3,12,72.99399999999878,25669.828,25742.822,NaN
3,13,83.35800000000017,25671.496,25754.854,NaN
12,7,49.02600000000166,25673.212,25722.238,NaN
12,8,62.03700000000026,25675.084,25737.121,NaN
3,14,60.40699999999924,25675.132,25735.539,NaN
14,7,54.93799999999828,25675.411,25730.349,NaN
12,7,46.46099999999933,25678.552,25725.013,NaN
3,7,70.33399999999892,25679.471,25749.805,NaN
12,7,45.92399999999907,25680.22,25726.144,NaN
3,11,69.07500000000073,25686.979,25756.054,NaN
